id,user_id,scenario_type,event_state,event_type,event_datetime
49, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:21:58"
50, "0","Default", "Completed", "Start", "2024-3-21 12:26:13"
51, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:26:16"
52, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-3-21 12:26:36"
53, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-3-21 12:26:36"
54, "0","Default", "Completed", "Start", "2024-3-21 12:28:51"
55, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:28:54"
56, "0","Default", "Completed", "Start", "2024-3-21 12:33:0"
57, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:33:3"
58, "0","Default", "Completed", "Start", "2024-3-21 12:34:10"
59, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:34:13"
60, "0","Default", "Completed", "Start", "2024-3-21 12:35:42"
61, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:35:45"
62, "0","Default", "Completed", "Start", "2024-3-21 12:41:6"
63, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:41:9"
64, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-3-21 12:41:29"
65, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-3-21 12:41:29"
66, "0","Default", "Completed", "Start", "2024-3-21 12:45:40"
67, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-3-21 12:45:43"
68, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-3-21 12:46:3"
69, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-3-21 12:46:3"
70, "0","MainMenu", "Completed", "Start", "2024-4-1 18:49:10"
71, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-1 18:49:12"
72, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-1 18:49:32"
73, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-1 18:49:32"
74, "0","MainMenu", "Completed", "Start", "2024-4-1 19:8:51"
75, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-1 19:8:54"
76, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-1 19:9:14"
77, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-1 19:9:14"
78, "0","Default", "Completed", "Start", "2024-4-6 11:59:53"
79, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 11:59:56"
80, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 12:0:17"
81, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 12:0:17"
82, "0","Default", "Completed", "Start", "2024-4-6 12:16:43"
83, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 12:16:46"
84, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 12:17:6"
85, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 12:17:6"
86, "0","Default", "Completed", "Start", "2024-4-6 12:18:17"
87, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 12:18:20"
88, "0","Default", "Completed", "Start", "2024-4-6 12:23:28"
89, "0","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 12:23:31"
90, "0","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 12:23:51"
91, "0","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 12:23:51"
92, "0","Default", "Completed", "Start", "2024-4-6 17:29:42"
93, "2","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 17:29:45"
94, "2","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 17:30:5"
95, "2","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 17:30:5"
96, "0","Default", "Completed", "Start", "2024-4-6 17:31:10"
97, "2","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 17:31:13"
98, "2","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 17:31:33"
99, "2","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 17:31:33"
100, "0","Default", "Completed", "Start", "2024-4-6 17:32:9"
101, "2","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 17:32:12"
102, "0","Default", "Completed", "Start", "2024-4-6 17:33:17"
103, "2","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 17:33:20"
104, "2","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 17:33:40"
105, "2","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 17:33:40"
106, "0","Default", "Completed", "Start", "2024-4-6 17:39:27"
107, "2","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 17:39:30"
108, "0","Default", "Completed", "Start", "2024-4-6 18:46:16"
109, "8","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 18:46:19"
110, "8","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 18:46:39"
111, "8","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 18:46:39"
112, "0","Default", "Completed", "Start", "2024-4-6 18:52:0"
113, "9","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-6 18:52:3"
114, "9","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-6 18:52:23"
115, "9","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-6 18:52:23"
116, "0","Default", "Completed", "Start", "2024-4-10 9:41:6"
117, "10","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 9:41:10"
118, "0","Default", "Completed", "Start", "2024-4-10 10:5:41"
119, "11","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 10:5:44"
120, "11","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 10:6:4"
121, "11","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 10:6:4"
122, "11","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 10:6:54"
123, "11","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 10:7:0"
124, "11","S1_BasicMechanics", "Completed", "S1_Detection", "2024-4-10 10:8:25"
125, "11","S1_BasicMechanics", "Started", "S1_Grab&Release", "2024-4-10 10:8:25"
126, "11","S1_BasicMechanics", "Completed", "S1_Grab&Release", "2024-4-10 10:9:13"
127, "11","S1_BasicMechanics", "Started", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:9:13"
128, "11","S1_BasicMechanics", "Completed", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:9:31"
129, "11","S1_BasicMechanics", "Started", "S1_TuddyOnHand", "2024-4-10 10:9:31"
130, "11","S1_BasicMechanics", "Completed", "S1_TuddyOnHand", "2024-4-10 10:9:44"
131, "11","S1_BasicMechanics", "Started", "S1_TalkToNPC", "2024-4-10 10:9:44"
132, "11","S1_BasicMechanics", "Completed", "S1_TalkToNPC", "2024-4-10 10:11:9"
133, "11","S1_BasicMechanics", "Started", "S1_TidyUp", "2024-4-10 10:11:9"
134, "11","S1_BasicMechanics", "Completed", "S1_TidyUp", "2024-4-10 10:13:15"
135, "11","S1_BasicMechanics", "Started", "S1_InformToNPC", "2024-4-10 10:13:15"
136, "0","Default", "Completed", "Start", "2024-4-10 10:24:9"
137, "12","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 10:24:11"
138, "12","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 10:24:32"
139, "12","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 10:24:32"
140, "12","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 10:25:46"
141, "12","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 10:25:51"
142, "12","S1_BasicMechanics", "Completed", "S1_Detection", "2024-4-10 10:27:52"
143, "12","S1_BasicMechanics", "Started", "S1_Grab&Release", "2024-4-10 10:27:52"
144, "12","S1_BasicMechanics", "Completed", "S1_Grab&Release", "2024-4-10 10:28:41"
145, "12","S1_BasicMechanics", "Started", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:28:41"
146, "12","S1_BasicMechanics", "Completed", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:29:0"
147, "12","S1_BasicMechanics", "Started", "S1_TuddyOnHand", "2024-4-10 10:29:0"
148, "12","S1_BasicMechanics", "Completed", "S1_TuddyOnHand", "2024-4-10 10:29:13"
149, "12","S1_BasicMechanics", "Started", "S1_TalkToNPC", "2024-4-10 10:29:13"
150, "12","S1_BasicMechanics", "Completed", "S1_TalkToNPC", "2024-4-10 10:29:34"
151, "12","S1_BasicMechanics", "Started", "S1_TidyUp", "2024-4-10 10:29:34"
152, "0","Default", "Completed", "Start", "2024-4-10 10:39:23"
153, "13","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 10:39:26"
154, "13","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 10:39:46"
155, "13","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 10:39:46"
156, "13","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 10:40:40"
157, "13","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 10:40:45"
158, "13","S1_BasicMechanics", "Completed", "S1_Detection", "2024-4-10 10:44:10"
159, "13","S1_BasicMechanics", "Started", "S1_Grab&Release", "2024-4-10 10:44:10"
160, "13","S1_BasicMechanics", "Completed", "S1_Grab&Release", "2024-4-10 10:44:57"
161, "13","S1_BasicMechanics", "Started", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:44:57"
162, "13","S1_BasicMechanics", "Completed", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:45:46"
163, "13","S1_BasicMechanics", "Started", "S1_TuddyOnHand", "2024-4-10 10:45:46"
164, "13","S1_BasicMechanics", "Completed", "S1_TuddyOnHand", "2024-4-10 10:45:59"
165, "13","S1_BasicMechanics", "Started", "S1_TalkToNPC", "2024-4-10 10:45:59"
166, "13","S1_BasicMechanics", "Completed", "S1_TalkToNPC", "2024-4-10 10:46:46"
167, "13","S1_BasicMechanics", "Started", "S1_TidyUp", "2024-4-10 10:46:46"
168, "0","Default", "Completed", "Start", "2024-4-10 10:53:52"
169, "14","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 10:53:56"
170, "14","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 10:54:16"
171, "14","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 10:54:16"
172, "14","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 10:55:22"
173, "14","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 10:55:28"
174, "14","S1_BasicMechanics", "Completed", "S1_Detection", "2024-4-10 10:57:18"
175, "14","S1_BasicMechanics", "Started", "S1_Grab&Release", "2024-4-10 10:57:18"
176, "14","S1_BasicMechanics", "Completed", "S1_Grab&Release", "2024-4-10 10:57:42"
177, "14","S1_BasicMechanics", "Started", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:57:42"
178, "14","S1_BasicMechanics", "Completed", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 10:57:52"
179, "14","S1_BasicMechanics", "Started", "S1_TuddyOnHand", "2024-4-10 10:57:52"
180, "14","S1_BasicMechanics", "Completed", "S1_TuddyOnHand", "2024-4-10 10:58:5"
181, "14","S1_BasicMechanics", "Started", "S1_TalkToNPC", "2024-4-10 10:58:5"
182, "14","S1_BasicMechanics", "Completed", "S1_TalkToNPC", "2024-4-10 10:58:35"
183, "14","S1_BasicMechanics", "Started", "S1_TidyUp", "2024-4-10 10:58:35"
184, "14","S1_BasicMechanics", "Completed", "S1_TidyUp", "2024-4-10 11:3:40"
185, "14","S1_BasicMechanics", "Started", "S1_InformToNPC", "2024-4-10 11:3:40"
186, "0","Default", "Completed", "Start", "2024-4-10 11:11:37"
187, "15","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 11:11:39"
188, "15","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 11:12:0"
189, "15","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 11:12:0"
190, "15","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 11:12:46"
191, "15","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 11:12:52"
192, "15","S1_BasicMechanics", "Completed", "S1_Detection", "2024-4-10 11:13:48"
193, "15","S1_BasicMechanics", "Started", "S1_Grab&Release", "2024-4-10 11:13:48"
194, "15","S1_BasicMechanics", "Completed", "S1_Grab&Release", "2024-4-10 11:14:22"
195, "15","S1_BasicMechanics", "Started", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 11:14:22"
196, "0","Default", "Completed", "Start", "2024-4-10 11:16:10"
197, "15","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 11:16:13"
198, "15","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 11:16:34"
199, "15","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 11:16:34"
200, "15","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 11:17:17"
201, "15","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 11:17:22"
202, "0","Default", "Completed", "Start", "2024-4-10 11:23:27"
203, "16","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 11:23:29"
204, "16","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 11:23:50"
205, "16","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 11:23:50"
206, "16","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 11:25:11"
207, "16","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 11:25:16"
208, "16","S1_BasicMechanics", "Completed", "S1_Detection", "2024-4-10 11:26:7"
209, "16","S1_BasicMechanics", "Started", "S1_Grab&Release", "2024-4-10 11:26:7"
210, "16","S1_BasicMechanics", "Completed", "S1_Grab&Release", "2024-4-10 11:27:14"
211, "16","S1_BasicMechanics", "Started", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 11:27:14"
212, "16","S1_BasicMechanics", "Completed", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 11:27:45"
213, "16","S1_BasicMechanics", "Started", "S1_TuddyOnHand", "2024-4-10 11:27:45"
214, "16","S1_BasicMechanics", "Completed", "S1_TuddyOnHand", "2024-4-10 11:27:58"
215, "16","S1_BasicMechanics", "Started", "S1_TalkToNPC", "2024-4-10 11:27:58"
216, "16","S1_BasicMechanics", "Completed", "S1_TalkToNPC", "2024-4-10 11:29:14"
217, "16","S1_BasicMechanics", "Started", "S1_TidyUp", "2024-4-10 11:29:14"
218, "0","Default", "Completed", "Start", "2024-4-10 11:37:24"
219, "17","S1_BasicMechanics", "Started", "S1_Introduction", "2024-4-10 11:37:27"
220, "17","S1_BasicMechanics", "Completed", "S1_Introduction", "2024-4-10 11:37:47"
221, "17","S1_BasicMechanics", "Started", "S1_Movement", "2024-4-10 11:37:47"
222, "17","S1_BasicMechanics", "Completed", "S1_Movement", "2024-4-10 11:38:53"
223, "17","S1_BasicMechanics", "Started", "S1_Detection", "2024-4-10 11:38:58"
224, "17","S1_BasicMechanics", "Completed", "S1_Detection", "2024-4-10 11:40:34"
225, "17","S1_BasicMechanics", "Started", "S1_Grab&Release", "2024-4-10 11:40:34"
226, "17","S1_BasicMechanics", "Completed", "S1_Grab&Release", "2024-4-10 11:41:34"
227, "17","S1_BasicMechanics", "Started", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 11:41:34"
228, "17","S1_BasicMechanics", "Completed", "S1_PlayerCanLeaveSmallRoom", "2024-4-10 11:42:7"
229, "17","S1_BasicMechanics", "Started", "S1_TuddyOnHand", "2024-4-10 11:42:7"
230, "17","S1_BasicMechanics", "Completed", "S1_TuddyOnHand", "2024-4-10 11:42:20"
231, "17","S1_BasicMechanics", "Started", "S1_TalkToNPC", "2024-4-10 11:42:20"
232, "17","S1_BasicMechanics", "Completed", "S1_TalkToNPC", "2024-4-10 11:42:53"
233, "17","S1_BasicMechanics", "Started", "S1_TidyUp", "2024-4-10 11:42:53"
